sc,LocId,component,net_present_kwh,npc_usd,component_lcoc_usd_per_kwh
0,stn_222_Roy,flatDmd,9022761.023471907,119368.89328387805,0.013229752286838866
0,stn_222_Roy,grid upgrades,9022761.023471907,33455.69814323294,0.003707922448150952
0,stn_222_Roy,infrastructure,9022761.023471907,200734.1888593976,0.022247534688905706
0,stn_228_Payson,energy,20189216.152747422,738760.2077374408,0.03659182219597504
0,stn_228_Payson,flatDmd,20189216.152747422,359115.3800330404,0.017787485027454652
0,stn_228_Payson,grid upgrades,20189216.152747422,100649.80433726156,0.0049853250158780815
0,stn_228_Payson,infrastructure,20189216.152747422,603898.8260235693,0.029911950095268487
0,stn_228_Payson,timevarDmd,20189216.152747422,313685.72002726287,0.01553729068300531
0,stn_22_West_Haven,energy,237192981.15715382,7249803.469068639,0.03056500000000098
0,stn_22_West_Haven,flatDmd,237192981.15715382,3023299.9909266303,0.012746161274154746
0,stn_22_West_Haven,grid upgrades,237192981.15715382,665917.2818087537,0.0028074915141251405
0,stn_22_West_Haven,infrastructure,237192981.15715382,5303215.953581353,0.02235823306283954
0,stn_23_Farr_West,energy,75346469.44953638,2303963.368461499,0.03057825250862734
0,stn_23_Farr_West,flatDmd,75346469.44953638,1712668.9700555885,0.022730580245736078
0,stn_23_Farr_West,grid upgrades,75346469.44953638,343137.90822036425,0.004554133866221593
0,stn_23_Farr_West,infrastructure,75346469.44953638,2880073.7531442023,0.03822440220736745
0,stn_23_Farr_West,timevarDmd,75346469.44953638,6370.868990529412,0.00008455431338818508
0,stn_241_Pleasant_View,energy,7104023.473299612,217134.47746140618,0.030565000000000495
0,stn_241_Pleasant_View,flatDmd,7104023.473299612,149370.03804230673,0.021026118312208884
0,stn_241_Pleasant_View,grid upgrades,7104023.473299612,15712.776827232763,0.002211813754035167
0,stn_241_Pleasant_View,infrastructure,7104023.473299612,251184.98296716125,0.03535812964459324
0,stn_244_Riverdale,energy,18318279.62494232,602575.6034543802,0.03289477045835179
0,stn_244_Riverdale,flatDmd,18318279.62494232,314184.4306192059,0.0171514158017006
0,stn_244_Riverdale,infrastructure,18318279.62494232,528341.6399163003,0.028842317659399954
0,stn_244_Riverdale,timevarDmd,18318279.62494232,143508.6730619584,0.00783417853642521
0,stn_254_Magna_City,energy,58886463.98152815,1813747.1563195162,0.03080074831608947
0,stn_254_Magna_City,flatDmd,58886463.98152815,1070390.6949377717,0.01817719425764023
0,stn_254_Magna_City,grid upgrades,58886463.98152815,273185.83638358867,0.004639195800061678
0,stn_254_Magna_City,infrastructure,58886463.98152815,2560646.639454142,0.04348446937240757
0,stn_254_Magna_City,timevarDmd,58886463.98152815,42934.67377293888,0.0007291093889829568
0,stn_25_Vineyard,energy,65726296.98618516,2008924.2673827438,0.03056499999999991
0,stn_25_Vineyard,flatDmd,65726296.98618516,1070390.6949377717,0.0162855773719118
0,stn_25_Vineyard,grid upgrades,65726296.98618516,266191.53721916996,0.004050000523764788
0,stn_25_Vineyard,infrastructure,65726296.98618516,1800000.0,0.02738629867400467
0,stn_27_Midvale,energy,31563726.159254793,1118975.8245250902,0.03545132215630364
0,stn_27_Midvale,flatDmd,31563726.159254793,582546.0543429541,0.018456187694815173
0,stn_27_Midvale,grid upgrades,31563726.159254793,126961.49838202975,0.0040223862588797486
0,stn_27_Midvale,infrastructure,31563726.159254793,979626.3203486443,0.031036459871877586
0,stn_27_Midvale,timevarDmd,31563726.159254793,430714.26370612264,0.013645862390674461
0,stn_31_Springville,energy,289118643.3266252,10420671.40256296,0.036042889806972574
0,stn_31_Springville,flatDmd,289118643.3266252,6055603.025388515,0.020945045105746896
0,stn_31_Springville,grid upgrades,289118643.3266252,1697212.9113306329,0.005870299098675712
0,stn_31_Springville,infrastructure,289118643.3266252,10183277.467983799,0.03522179459205428
0,stn_31_Springville,timevarDmd,289118643.3266252,4203217.990534172,0.014538038578804764
0,stn_33_Murray,energy,12059745.202845214,429370.58231769525,0.035603619736210956
0,stn_33_Murray,flatDmd,12059745.202845214,310349.25913523376,0.025734313114842106
0,stn_33_Murray,grid upgrades,12059745.202845214,86982.05074174612,0.007212594402178973
0,stn_33_Murray,infrastructure,12059745.202845214,521892.3044504767,0.04327556641307384
0,stn_33_Murray,timevarDmd,12059745.202845214,156652.2465543439,0.012989681284260092
0,stn_35_Centerville,energy,23365044.18331637,714152.5754630662,0.03056500000000006
0,stn_35_Centerville,flatDmd,23365044.18331637,251124.6489624171,0.010747878197539671
0,stn_35_Centerville,grid upgrades,23365044.18331637,65895.78727140294,0.00282027231596058
0,stn_35_Centerville,infrastructure,23365044.18331637,422298.48434793216,0.0180739433246812
0,stn_47_Lehi,energy,7928874.744529015,287268.5183334013,0.03623067933209801
